family,n_successful,tau_mean,tau_sd,tau_median,tau_q05,tau_q95,ci_width,tau_true,tau_bias,selection_freq,n_prior,n_current,config
t,100,0.684883963809696,0.0311786322143149,0.685335752796716,0.641052292122146,0.733125335160845,0.0920730430386991,0.679023292102445,0.00586067170725146,0.39,100,100,G4to5_1yr
frank,100,0.70663452023248,0.0226814223003852,0.706326756248506,0.671622706282184,0.747019190902969,0.0753964846207846,0.703765063781083,0.00286945645139669,0.61,100,100,G4to5_1yr
t,100,0.679388876745754,0.0170188572234187,0.679256422434776,0.653696154267994,0.704823479934543,0.0511273256665491,0.679023292102445,0.000365584643309491,0.37,250,250,G4to5_1yr
frank,100,0.70300483824364,0.0153169289444959,0.705276987065952,0.674558724906622,0.727675470925135,0.0531167460185125,0.703765063781083,-0.000760225537442483,0.63,250,250,G4to5_1yr
t,100,0.674994335055292,0.012215706875257,0.673717168302915,0.65689792769673,0.696403160820923,0.0395052331241932,0.679023292102445,-0.004028957047153,0.14,500,500,G4to5_1yr
frank,100,0.700989969711018,0.0101142238237662,0.700744643811541,0.686532964385679,0.716865991557513,0.0303330271718337,0.703765063781083,-0.00277509407006471,0.86,500,500,G4to5_1yr
t,100,0.67975331759059,0.00926644987399441,0.680044252622739,0.663960411121041,0.695009784427515,0.0310493733064731,0.679023292102445,0.000730025488145047,0.19,1000,1000,G4to5_1yr
frank,100,0.703610438983043,0.00829480893212976,0.703057411240196,0.691256972954725,0.71870593396887,0.0274489610141451,0.703765063781083,-0.000154624798039515,0.81,1000,1000,G4to5_1yr
t,100,0.677587224519669,0.00727823039787867,0.678297697369049,0.665521567505593,0.689082199608417,0.0235606321028247,0.679023292102445,-0.00143606758277626,0.07,2000,2000,G4to5_1yr
frank,100,0.702675268581955,0.00566898295903048,0.70329010837722,0.693018122910799,0.711206421852485,0.0181882989416867,0.703765063781083,-0.00108979519912777,0.93,2000,2000,G4to5_1yr
t,100,0.679132210323023,0.00459275758276805,0.67934622751458,0.671923771476203,0.686875220119053,0.0149514486428505,0.679023292102445,0.000108918220577903,,4000,4000,G4to5_1yr
frank,100,0.703541621130075,0.00385865050863995,0.70432083746336,0.697095633436864,0.708525286842734,0.0114296534058698,0.703765063781083,-0.000223442651007599,1,4000,4000,G4to5_1yr
t,100,0.67836995889356,0.0174737083808218,0.678808872848157,0.651187667096302,0.705204065997905,0.0540163989016034,0.679023292102445,-0.00065333320888461,0.3,1000,250,G4to5_1yr
frank,100,0.703957623467818,0.014581472746917,0.706337931354477,0.680141511529627,0.725280555195839,0.0451390436662118,0.703765063781083,0.00019255968673515,0.7,1000,250,G4to5_1yr
t,100,0.681286927758515,0.0189853768045886,0.681549286041953,0.64910155758384,0.711159395243318,0.0620578376594789,0.679023292102445,0.00226363565607013,0.33,250,1000,G4to5_1yr
frank,100,0.705837945612613,0.0156940179003639,0.706115358928184,0.676392692319985,0.732094825769751,0.0557021334497658,0.703765063781083,0.00207288183152965,0.67,250,1000,G4to5_1yr
t,100,0.680958571479467,0.0137739790985673,0.682808360868028,0.658261902969698,0.70401982368995,0.0457579207202523,0.679023292102445,0.00193527937702231,0.28,4000,500,G4to5_1yr
frank,100,0.70419543673976,0.0112864922486822,0.703218174882316,0.688248637937553,0.725278564910603,0.0370299269730491,0.703765063781083,0.000430372958677316,0.72,4000,500,G4to5_1yr
t,100,0.679315168260775,0.0145501754311673,0.681102976202411,0.654428862766637,0.699089711862104,0.0446608490954662,0.679023292102445,0.000291876158329707,0.23,500,4000,G4to5_1yr
frank,100,0.704165826713728,0.0110105084915362,0.704016203902111,0.685582784747511,0.722979653935675,0.0373968691881649,0.703765063781083,0.000400762932645349,0.77,500,4000,G4to5_1yr
