configuration,type,content_prior,content_current,n_pairs_available,sample_size,true_tau,best_family,tau_mean,tau_sd,tau_bias,ci_width
Math_G4to8,within,MATHEMATICS,MATHEMATICS,51423,500,0.624701930194472,frank,0.615452235101092,0.0138386375702852,-0.00322731180020464,0.0427589244536343
Math_G4to8,within,MATHEMATICS,MATHEMATICS,51423,1000,0.624701930194472,frank,0.618565833343645,0.0109010698058453,-0.000113713557651884,0.0340655580030759
Math_G4to8,within,MATHEMATICS,MATHEMATICS,51423,2000,0.624701930194472,frank,0.618285827105645,0.00671157345405945,-0.000393719795651837,0.0214330543061737
Reading_G4to8,within,READING,READING,51066,500,0.625558067761525,t,0.619476179171635,0.0153458617159273,0.000854470631867166,0.0517986603545837
Reading_G4to8,within,READING,READING,51066,1000,0.625558067761525,t,0.619229114789317,0.009967495103731,0.000607406249549025,0.0314293604219505
Reading_G4to8,within,READING,READING,51066,2000,0.625558067761525,t,0.617672707023166,0.00645139157414248,-0.000949001516601378,0.0213212809172039
Writing_G4to8,within,WRITING,WRITING,51211,500,0.570978574865736,frank,0.563026888396687,0.0154881492824772,0.000353964742831892,0.053063063685935
Writing_G4to8,within,WRITING,WRITING,51211,1000,0.570978574865736,frank,0.560373855640613,0.0110321551426274,-0.0022990680132412,0.0342870914872951
Writing_G4to8,within,WRITING,WRITING,51211,2000,0.570978574865736,frank,0.563399737540797,0.00811696360819338,0.000726813886942401,0.0261526244724422
MathToReading_G4to8,cross,MATHEMATICS,READING,51370,500,0.519203545070685,t,0.503739917242474,0.0178461963406305,0.00141041549134335,0.0549376885924818
MathToReading_G4to8,cross,MATHEMATICS,READING,51370,1000,0.519203545070685,t,0.499689135072017,0.0142389483266861,-0.00264036667911355,0.0425251676088515
MathToReading_G4to8,cross,MATHEMATICS,READING,51370,2000,0.519203545070685,t,0.50157651204423,0.00846708749263475,-0.000752989706900409,0.0286256418152424
ReadingToMath_G4to8,cross,READING,MATHEMATICS,51119,500,0.51577971156322,t,0.506479819300521,0.0204885889417652,-0.000864138354583988,0.0704610451228438
ReadingToMath_G4to8,cross,READING,MATHEMATICS,51119,1000,0.51577971156322,t,0.506141989722478,0.01353798830517,-0.00120196793262684,0.0453651998283466
ReadingToMath_G4to8,cross,READING,MATHEMATICS,51119,2000,0.51577971156322,t,0.507852816315463,0.0100309455874984,0.000508858660358325,0.0300539193223786
MathToWriting_G4to8,cross,MATHEMATICS,WRITING,51349,500,0.509119747239131,frank,0.501885464630124,0.0168187940491074,-0.00081835908342498,0.0515164510379817
MathToWriting_G4to8,cross,MATHEMATICS,WRITING,51349,1000,0.509119747239131,frank,0.504634730692306,0.0122864163523589,0.00193090697875697,0.0380614612025369
MathToWriting_G4to8,cross,MATHEMATICS,WRITING,51349,2000,0.509119747239131,frank,0.502610642039852,0.00878376671658311,-9.31816736974289e-05,0.0275902446567179
