configuration,cohort,grade_transition,n_pairs_available,sample_size,true_tau,best_family,tau_mean,tau_sd,tau_bias,ci_width
G4to5_2007to2008,2007,4->5,53367,500,0.699427970970816,frank,0.695731667070855,0.0109025383018266,0.00305823415056805,0.0344159761310316
G4to5_2007to2008,2007,4->5,53367,1000,0.699427970970816,frank,0.692102387969338,0.00901546991508959,-0.000571044950948729,0.0265754297296347
G4to5_2007to2008,2007,4->5,53367,2000,0.699427970970816,frank,0.692670203817773,0.00603705371693193,-3.22910251382424e-06,0.018476231308474
G4to5_2008to2009,2008,4->5,55042,500,0.699635993975127,frank,0.69108492824317,0.0116439301803666,-0.00241374278095607,0.0362978549799745
G4to5_2008to2009,2008,4->5,55042,1000,0.699635993975127,frank,0.695081541322073,0.00858107718728505,0.00158287029794724,0.0259782055105798
G4to5_2008to2009,2008,4->5,55042,2000,0.699635993975127,frank,0.693265692030446,0.00674324663833513,-0.000232978993680355,0.0217819856988978
G4to5_2009to2010,2009,4->5,56307,500,0.705836999413764,frank,0.697658402988615,0.0118147818685666,-0.0013005506228797,0.038436428335007
G4to5_2009to2010,2009,4->5,56307,1000,0.705836999413764,frank,0.699170488246709,0.00726268158522853,0.000211534635214727,0.0232966462919823
G4to5_2009to2010,2009,4->5,56307,2000,0.705836999413764,frank,0.698220910872091,0.00507154758827623,-0.000738042739403144,0.0163552675764039
G4to5_2010to2011,2010,4->5,57944,500,0.710494087575184,frank,0.706387975378045,0.0106892906815523,0.00262291159696193,0.035241254077635
G4to5_2010to2011,2010,4->5,57944,1000,0.710494087575184,frank,0.704775786697245,0.00783993617944484,0.00101072291616233,0.0258731387491685
G4to5_2010to2011,2010,4->5,57944,2000,0.710494087575184,frank,0.703784287713828,0.00582997133158458,1.9223932745116e-05,0.0193206114996841
G4to5_2011to2012,2011,4->5,59015,500,0.723047430756857,frank,0.717252508464792,0.010648920696,0.00114995026939235,0.0330204502008815
G4to5_2011to2012,2011,4->5,59015,1000,0.723047430756857,frank,0.716778292434127,0.00774641701433702,0.000675734238728021,0.0242634358182968
G4to5_2011to2012,2011,4->5,59015,2000,0.723047430756857,frank,0.716531754956801,0.00559844085413642,0.000429196761402073,0.016390102934157
G4to5_2012to2013,2012,4->5,59699,500,0.720692831683255,frank,0.714899302372874,0.0117928803855655,0.000690973241711856,0.0382801438381754
G4to5_2012to2013,2012,4->5,59699,1000,0.720692831683255,frank,0.713761453471986,0.0079617581409278,-0.000446875659176893,0.0231755095678764
G4to5_2012to2013,2012,4->5,59699,2000,0.720692831683255,frank,0.714437684921868,0.00486737011546884,0.000229355790705266,0.0185665094639409
G5to6_2009to2010,2009,5->6,55348,500,0.710398957456057,frank,0.702529123091567,0.0100578129494603,-0.00163116634213845,0.034613751408668
G5to6_2009to2010,2009,5->6,55348,1000,0.710398957456057,frank,0.703390842456138,0.00747585920875662,-0.00076944697756709,0.0245734388943472
G5to6_2009to2010,2009,5->6,55348,2000,0.710398957456057,frank,0.704387695175836,0.00546056803382861,0.000227405742130538,0.0169530644727691
G5to6_2010to2011,2010,5->6,56477,500,0.71873335049039,frank,0.712815786782436,0.0102429994680256,0.000661507755953417,0.0297587093988043
G5to6_2010to2011,2010,5->6,56477,1000,0.71873335049039,frank,0.711716393146392,0.00719457440503259,-0.000437885880090194,0.0231276380905194
G5to6_2010to2011,2010,5->6,56477,2000,0.71873335049039,frank,0.712657251488231,0.00465314326482286,0.000502972461748574,0.0155149689697793
G5to6_2011to2012,2011,5->6,57886,500,0.718751635626003,frank,0.713235216659919,0.0106295284026103,0.00216231692742219,0.0306336457633732
G5to6_2011to2012,2011,5->6,57886,1000,0.718751635626003,frank,0.711445937383401,0.00773389056609517,0.000373037650904129,0.0217513292956464
G5to6_2011to2012,2011,5->6,57886,2000,0.718751635626003,frank,0.711533258427708,0.00547485359241345,0.000460358695211549,0.0173630526694026
G5to6_2012to2013,2012,5->6,58950,500,0.734639407665702,frank,0.728634070762279,0.00967538604351042,0.000723549871027962,0.0280300714983056
G5to6_2012to2013,2012,5->6,58950,1000,0.734639407665702,frank,0.727551319442245,0.0073067927960921,-0.00035920144900603,0.0237009768212499
G5to6_2012to2013,2012,5->6,58950,2000,0.734639407665702,frank,0.727366054083233,0.00508266980346678,-0.000544466808017674,0.0168819714943997
